"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"15317","CANONSBURG, PA","G",29660,"H",770727,"G",2286809,1443,"CANONSBURG","PA","WASHINGTON"
"15320","CARMICHAELS, PA","G",1210,"G",10642,"G",43095,118,"CARMICHAELS","PA","GREENE"
"15321","CECIL, PA","H",226,"H",2696,"H",11402,47,"CECIL","PA","WASHINGTON"
"15322","CLARKSVILLE, PA","J",29,"H",132,"J",753,14,"CLARKSVILLE","PA","GREENE"
"15323","CLAYSVILLE, PA","H",729,"H",13937,"H",50690,70,"CLAYSVILLE","PA","WASHINGTON"
"15324","COKEBURG, PA","J",58,"J",878,"J",3551,5,"COKEBURG","PA","WASHINGTON"
"15327","DILLINER, PA","G",68,"G",586,"G",2763,11,"DILLINER","PA","GREENE"
"15329","PROSPERITY, PA","J",570,"J",12315,"J",40645,27,"PROSPERITY","PA","WASHINGTON"
"15330","EIGHTY FOUR, PA","G",3216,"H",54171,"H",193537,159,"EIGHTY FOUR","PA","WASHINGTON"
"15331","ELLSWORTH, PA","J",21,"G",143,"H",385,8,"ELLSWORTH","PA","WASHINGTON"
"15332","FINLEYVILLE, PA","H",1492,"H",17748,"H",72011,135,"FINLEYVILLE","PA","WASHINGTON"
"15333","FREDERICKTOWN, PA","G",433,"G",3134,"G",12930,33,"FREDERICKTOWN","PA","WASHINGTON"
"15337","GRAYSVILLE, PA","J",51,"J",581,"J",2477,9,"GRAYSVILLE","PA","GREENE"
"15338","GREENSBORO, PA","J",138,"J",1443,"J",5444,17,"GREENSBORO","PA","GREENE"
"15339","HENDERSONVILLE, PA","J",38,"J",290,"J",1446,3,"HENDERSONVILLE","PA","WASHINGTON"
"15340","HICKORY, PA","G",319,"G",3266,"G",12612,41,"HICKORY","PA","WASHINGTON"
"15341","HOLBROOK, PA","J",352,"J",8410,"J",13880,4,"HOLBROOK","PA","GREENE"
"15342","HOUSTON, PA","H",2013,"G",32056,"G",135910,104,"HOUSTON","PA","WASHINGTON"
"15344","JEFFERSON, PA","H",133,"H",941,"G",5299,12,"JEFFERSON","PA","GREENE"
"15345","MARIANNA, PA","G",105,"G",515,"G",2138,18,"MARIANNA","PA","WASHINGTON"
"15346","MATHER, PA","H",24,"G",123,"H",583,5,"MATHER","PA","GREENE"
"15347","MEADOW LANDS, PA","G",485,"G",5172,"G",21048,29,"MEADOW LANDS","PA","WASHINGTON"
"15348","MILLSBORO, PA","H",57,"G",305,"G",1206,13,"MILLSBORO","PA","WASHINGTON"
"15349","MOUNT MORRIS, PA","H",879,"H",11968,"G",44049,42,"MOUNT MORRIS","PA","GREENE"
"15350","MUSE, PA","J",82,"J",654,"J",3455,5,"MUSE","PA","WASHINGTON"
"15352","NEW FREEPORT, PA","G",71,"H",718,"H",2713,8,"NEW FREEPORT","PA","GREENE"
